av_hr_ta,av_vap_d,tot_sol_eng,soil_temp_5,av_wnd_spd,Eto
18.2,1.49,1.12,13.9,4.6,0.29
20.5,1.81,1.65,14,5.4,0.45
21.6,2.02,2.05,14.3,6.2,0.58
22.7,2.2,2.24,14.7,5.4,0.61
23.6,2.37,2.25,15.3,5,0.62
24.1,2.49,1.92,15.9,4.8,0.54
24.3,2.51,1.44,16.5,4.8,0.43
24,2.44,0.89,17,4,0.28
22.3,2.08,0.31,17.2,2.7,0.12
19.6,1.69,0.01,17.3,2.5,0.09
17.6,1.46,0,17.1,1.3,0.05
15.6,1.21,0,16.9,0.9,0.04
15.1,1.13,0,16.6,1.5,0.04
14.1,1.06,0,16.2,0.4,0.02
11.6,0.7,0,15.9,1.2,0.02
10.4,0.58,0,15.6,1,0.01
10.2,0.55,0,15.4,0.8,0.01
10.1,0.57,0,15.1,0.8,0.01
11,0.7,0,14.8,0.5,0.01
10.5,0.63,0,14.6,0.4,0.01
10,0.62,0,14.3,0.3,0.01
12.7,1.03,0,14.1,0.3,0.02
13.7,1.1,0.02,13.9,1.3,0.05
14.2,1.11,0.43,13.8,1.1,0.05
16.4,1.24,1.09,13.6,4.1,0.25
19,1.59,1.66,13.7,5.5,0.44
20.8,1.84,2.03,14,6,0.56
22.6,2.16,2.44,14.4,5.6,0.66
23.7,2.37,2.24,15.1,5.3,0.62
24.8,2.59,1.94,15.7,4.4,0.54
24.7,2.59,1.05,16.4,3.9,0.31
23.5,2.34,0.47,16.8,3.3,0.15
22.4,2.16,0.17,17,2.4,0.13
21.1,1.99,0,17,1.1,0.06
19.2,1.63,0,16.9,0.5,0.04
18.3,1.46,0,16.7,1.9,0.06
17.6,1.37,0,16.5,2.5,0.07
16.5,1.21,0,16.4,1.1,0.04
15.9,1.12,0,16.2,0.8,0.03
15.3,1.04,0,16,0.5,0.02
13.8,0.75,0,15.9,1.1,0.02
14.3,0.87,0,15.7,0.7,0.02
14.9,1.04,0,15.6,0.5,0.02
14.9,1.06,0,15.4,1,0.03
15.2,1.18,0,15.2,1,0.04
14.6,1.03,0,15.1,1.9,0.05
14.1,0.94,0.01,14.9,2,0.04
14.9,0.99,0.25,14.9,2.6,0.06
16.7,1.14,0.6,14.8,2.8,0.11
19,1.52,0.84,14.9,4,0.22
22,2.02,1.73,15,4,0.44
24.1,2.42,1.55,15.4,3.3,0.4
25.8,2.8,2.06,15.9,2.7,0.51
26.3,2.94,1.4,16.5,2.3,0.35
26,2.79,0.77,17.1,2.1,0.19
25.9,2.7,0.6,17.5,1.7,0.13
24.6,2.43,0.15,17.7,0.7,0.09
22.1,1.99,0,17.8,1.1,0.06
20,1.64,0,17.7,0.5,0.04
18.1,1.23,0,17.6,0.4,0.03
16.1,0.88,0,17.4,1.1,0.02
16.2,1.02,0,17.1,0.8,0.03
15.4,0.96,0,16.9,0.8,0.02
14.3,0.75,0,16.7,1.4,0.02
13.2,0.59,0,16.5,0.8,0.01
12.8,0.5,0,16.2,1.1,0.01
13.2,0.54,0,16.1,0.8,0.01
12.9,0.48,0,15.9,0.7,0
12.4,0.42,0,15.8,0.4,0
11.9,0.43,0,15.6,0.6,0
12.4,0.52,0.01,15.4,0.7,0.01
12.8,0.55,0.25,15.3,0.9,0.01
16.3,0.94,1.12,15.2,1.5,0.18
20.1,1.54,1.16,15.2,1.1,0.21
21.7,1.85,1.69,15.5,0.9,0.33
24.4,2.39,2.04,15.9,1.1,0.44
25.5,2.56,1.96,16.5,1.5,0.44
25.6,2.53,1.51,17.2,2,0.35
25.3,2.38,0.85,17.8,1.3,0.17
24.5,2.14,0.59,18.2,1.5,0.11
23.3,2.01,0.11,18.5,0.8,0.08
21.5,1.62,0,18.5,0.8,0.04
19.6,1.24,0,18.4,1.9,0.05
18.7,1.12,0,18.2,1.7,0.04
18.7,1.27,0,18,1.9,0.05
17.9,1.08,0,17.9,0.8,0.03
17.5,0.9,0,17.7,0.9,0.02
16.7,0.69,0,17.5,0.7,0.01
16.7,0.82,0,17.4,1.5,0.03
17.2,1,0,17.3,1,0.03
15.2,0.56,0,17.1,1.2,0.01
14.8,0.54,0,17,1,0.01
14.4,0.54,0,16.8,1.6,0.01
15.1,0.67,0,16.7,1.5,0.02
15.3,0.7,0.01,16.6,1.8,0.03
15.8,0.65,0.14,16.5,0.7,0.02
16,0.45,0.29,16.4,0.6,0
18.3,0.64,0.74,16.4,0.6,0.09
21.4,1.05,1.07,16.5,1,0.17
22.1,1.16,0.71,16.8,2.7,0.13
23.4,1.39,1.28,17.1,5,0.32
24.1,1.51,1.33,17.4,3.8,0.31
24.2,1.51,0.93,17.9,3.2,0.2
23.3,1.4,0.29,18.2,3.9,0.09
20.8,0.85,0.08,18.4,2,0.05
19.3,0.61,0,18.4,1.2,0.01
17.5,0.44,0,18.3,0.8,0
17.6,0.59,0,18.1,2,0.02
16.7,0.53,0,17.9,1.5,0.01
16.3,0.49,0,17.6,0.9,0
14.4,0.31,0,17.4,0.7,-0.01
12.7,0.16,0,17.2,1,-0.01
12.4,0.12,0,17,0.5,-0.02
11.5,0.09,0,16.7,0.4,-0.02
11,0.05,0,16.5,0.4,-0.02
10.6,0.02,0,16.2,0.3,-0.02
9.8,0.03,0,16,0.9,-0.02
9.3,0.01,0,15.8,0.6,-0.02
